"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018","2019","2020"
"06083","Santa Barbara, CA",25172214,25885092,26938329,27183782,26623985
"06085","Santa Clara, CA",262013456,282946368,306691667,325665794,340009883
"06087","Santa Cruz, CA",12597030,12786326,13243490,14124562,13591297
"06089","Shasta, CA",6931422,7437919,7219547,7608827,7341817
"06091","Sierra, CA",81735,82019,84198,87671,80670
"06093","Siskiyou, CA",1572563,1546848,1563467,1579641,1641363
"06095","Solano, CA",20619199,20899701,21944195,24048606,24020822
"06097","Sonoma, CA",25745062,26325465,27565642,27657268,26611361
"06099","Stanislaus, CA",19623484,20632799,21234213,21658223,21439045
"06101","Sutter, CA",3065514,3095179,3307355,3282757,3357591
"06103","Tehama, CA",1668083,1882273,1885606,1980076,2011859
"06105","Trinity, CA",337006,371527,359579,357454,368912
"06107","Tulare, CA",16100787,16847054,17063694,17762269,17662200
"06109","Tuolumne, CA",2232551,2455844,2284494,2404999,2193724
"06111","Ventura, CA",46203169,46470387,46592945,47846529,46597738
"06113","Yolo, CA",12757435,13013233,13472232,13964754,13587572
"06115","Yuba, CA",2793149,2948046,2980485,3087444,3045748
"08001","Adams, CO*",22858520,23784769,24745551,25858619,25451180
"08003","Alamosa, CO",613919,613032,638684,641874,664882
"08005","Arapahoe, CO",41262441,42024419,43909234,44278392,43489732
"08007","Archuleta, CO",499013,493487,504138,510854,494375
"08009","Baca, CO",94168,164357,129189,128539,173764
"08011","Bent, CO",151203,135923,135559,131212,143196
"08013","Boulder, CO*",23746927,25104630,25865152,27502894,26619597
"08014","Broomfield, CO*",6465869,6924833,6562146,6937897,6895273
"08015","Chaffee, CO",654495,679485,712666,743484,736035
"08017","Cheyenne, CO",176860,184802,176810,186510,215685
"08019","Clear Creek, CO",516049,523011,464803,536445,500481
"08021","Conejos, CO",182134,194892,204469,198454,204012
"08023","Costilla, CO",72959,79072,80947,81632,88681
"08025","Crowley, CO",143730,123247,135223,125619,123783
"08027","Custer, CO",115039,108211,110677,120477,124417
"08029","Delta, CO",741145,723286,784802,806409,818405
"08031","Denver, CO",64107085,66026526,69239514,74702568,71810805
"08033","Dolores, CO",222263,202223,156648,152722,157346
"08035","Douglas, CO",15876896,16510310,17842000,17821178,17347206
"08037","Eagle, CO",3386972,3560570,3602348,3703041,3446182
"08039","Elbert, CO",474257,508148,583632,651598,652812
"08041","El Paso, CO",29978194,31036447,32154123,33127327,33110622
"08043","Fremont, CO",1253795,1239623,1269710,1271820,1273467
"08045","Garfield, CO",4516706,4544978,4328140,4427385,4218575
"08047","Gilpin, CO",553978,593978,546571,540277,475129
"08049","Grand, CO",791364,859167,848318,876168,850839
"08051","Gunnison, CO",981907,1028011,1049017,1021921,941543
"08053","Hinsdale, CO",34203,34348,35131,34036,31882
"08055","Huerfano, CO",251307,267798,258738,260530,284855
"08057","Jackson, CO",96569,111101,127312,140351,122942
